State,District,Theft_2017,Murder_2017,RegisteredUsers_2017,Theft_2018,Murder_2018,RegisteredUsers_2018,TransactionVolume_2018,Theft_2019,Murder_2019,RegisteredUsers_2019,TransactionVolume_2019,Theft_2022,Murder_2022,RegisteredUsers_2022,TransactionVolume_2022,Theft_2023,Murder_2023,RegisteredUsers_2023,TransactionVolume_2023
Chhattisgarh,Kondagaon,30.0,23.0,5625.0,7.0,29.0,19795.0,159429.0,27.0,11.0,33640.0,367041.0,54.0,18.0,93464.0,4835646.0,42.0,9.0,110929.0,12301747.0
Chhattisgarh,Korba,220.0,38.0,39075.0,297.0,41.0,105570.0,686975.0,268.0,46.0,163500.0,1709813.0,365.0,45.0,384883.0,26317365.0,363.0,36.0,450305.0,64188760.0
Chhattisgarh,Mahasamund,165.0,23.0,19608.0,157.0,20.0,56953.0,462000.0,132.0,12.0,89942.0,947636.0,162.0,22.0,222989.0,13266399.0,101.0,18.0,263607.0,32802723.0
Chhattisgarh,Manendragarh Chirmiri Bharatpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,12.0,0.0,0.0,77.0,17.0,0.0,0.0
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,0.0,22.0,7.0,0.0,0.0
Chhattisgarh,Narayanpur,9.0,18.0,1768.0,10.0,18.0,6161.0,38735.0,10.0,13.0,10674.0,138935.0,12.0,9.0,27764.0,1437173.0,14.0,22.0,32773.0,3966655.0
Chhattisgarh,Raigarh,215.0,54.0,51628.0,398.0,68.0,139059.0,958878.0,370.0,67.0,208338.0,2197577.0,528.0,68.0,489890.0,29077237.0,496.0,65.0,575592.0,71678830.0
Chhattisgarh,Raipur,1446.0,67.0,135308.0,1492.0,59.0,351495.0,2345436.0,1548.0,76.0,559412.0,14537416.0,1966.0,75.0,1260366.0,136152287.0,1588.0,63.0,1462871.0,224409534.0
Chhattisgarh,Rajnandgaon,283.0,41.0,26295.0,360.0,40.0,78320.0,550127.0,368.0,20.0,126699.0,1295528.0,276.0,32.0,317976.0,18222896.0,215.0,21.0,374946.0,40950796.0
Chhattisgarh,Sakti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,21.0,0.0,0.0,96.0,20.0,0.0,0.0
